song_id,filename,genre,total_duration_s,zcr_mean_mean,zcr_mean_std,zcr_std_mean,zcr_std_std,rms_mean_mean,rms_mean_std,rms_std_mean,rms_std_std,spectral_centroid_mean_mean,spectral_centroid_mean_std,spectral_centroid_std_mean,spectral_centroid_std_std,spectral_bandwidth_mean_mean,spectral_bandwidth_mean_std,spectral_bandwidth_std_mean,spectral_bandwidth_std_std,spectral_rolloff_mean_mean,spectral_rolloff_mean_std,spectral_rolloff_std_mean,spectral_rolloff_std_std,contrast_0_mean_mean,contrast_0_mean_std,contrast_0_std_mean,contrast_0_std_std,contrast_1_mean_mean,contrast_1_mean_std,contrast_1_std_mean,contrast_1_std_std,contrast_2_mean_mean,contrast_2_mean_std,contrast_2_std_mean,contrast_2_std_std,contrast_3_mean_mean,contrast_3_mean_std,contrast_3_std_mean,contrast_3_std_std,contrast_4_mean_mean,contrast_4_mean_std,contrast_4_std_mean,contrast_4_std_std,contrast_5_mean_mean,contrast_5_mean_std,contrast_5_std_mean,contrast_5_std_std,contrast_6_mean_mean,contrast_6_mean_std,contrast_6_std_mean,contrast_6_std_std,mfcc1_mean_mean,mfcc1_mean_std,mfcc1_std_mean,mfcc1_std_std,mfcc2_mean_mean,mfcc2_mean_std,mfcc2_std_mean,mfcc2_std_std,mfcc3_mean_mean,mfcc3_mean_std,mfcc3_std_mean,mfcc3_std_std,mfcc4_mean_mean,mfcc4_mean_std,mfcc4_std_mean,mfcc4_std_std,mfcc5_mean_mean,mfcc5_mean_std,mfcc5_std_mean,mfcc5_std_std,mfcc6_mean_mean,mfcc6_mean_std,mfcc6_std_mean,mfcc6_std_std,mfcc7_mean_mean,mfcc7_mean_std,mfcc7_std_mean,mfcc7_std_std,mfcc8_mean_mean,mfcc8_mean_std,mfcc8_std_mean,mfcc8_std_std,mfcc9_mean_mean,mfcc9_mean_std,mfcc9_std_mean,mfcc9_std_std,mfcc10_mean_mean,mfcc10_mean_std,mfcc10_std_mean,mfcc10_std_std,mfcc11_mean_mean,mfcc11_mean_std,mfcc11_std_mean,mfcc11_std_std,mfcc12_mean_mean,mfcc12_mean_std,mfcc12_std_mean,mfcc12_std_std,mfcc13_mean_mean,mfcc13_mean_std,mfcc13_std_mean,mfcc13_std_std,spectral_flux_mean_mean,spectral_flux_mean_std,spectral_flux_std_mean,spectral_flux_std_std
01da14b533eb4fefb3cf20af940ac33b,ಕೆಂಪಗಾಡಿ ಡ್ರೆವರ್ ｜ Kempa Gaadi Driver ｜ Basavaraj  Narendra ｜ Folk Song.wav,Folk,300,0.11683961283271432,0.038730699263016644,0.057568307083331216,0.03092071276663195,0.37067974,0.10839242,0.15713768,0.04120628,2441.840432828211,706.0074157944618,834.9602374613395,347.1448851144782,2281.5785917489034,638.5314571116539,606.6194578073573,335.1693150048635,4972.397981181451,1408.9722729999187,1831.9436474696668,566.541225034367,17.270843302616022,0.3235033169324102,4.867161378223137,0.7833318149690804,14.65860258631497,0.5143446739548918,4.065391458652288,0.7451139048635966,19.120712453086597,0.949899274888312,4.858964967762378,0.7060522908183641,19.93044653144028,1.4763132488978905,4.433264780762073,0.6029811157649003,18.862354937993945,0.9989722065783811,3.4860004975884578,0.4427579692531794,18.157872049086194,0.7504396637828173,2.9759406816371734,0.32622527034143495,16.3553806761709,0.37661677371729907,2.133221005471979,0.44826430873573564,-33.061234,122.06551,93.396355,77.437325,64.353966,18.864716,30.005789,10.235407,-17.046461,6.4710455,22.37654,5.416134,8.311371,2.6413755,15.420283,3.6447113,-5.3053975,3.2741802,12.5076475,2.6873105,0.19437486,2.1656888,11.174369,2.188503,-1.2171551,1.5619293,10.34714,2.7099152,0.5316731,2.5708337,9.983551,2.4942765,-0.91050965,2.1311145,8.228032,1.8524498,-2.0623465,1.352588,8.694532,1.5321394,-4.5485587,2.5307245,9.201004,0.9889797,2.4306552,2.1439435,10.3224535,2.0600302,-1.6767205,0.96326673,9.360151,1.2339493,174.49702,50.61946,92.108665,14.515802
01ea96ae1b0a4e19afff66d59ffeb188,Mungaru Male Title Song dont miss to watch.wav,Romantic,300,0.17802853762863666,0.028270800182125518,0.09703954942852795,0.017151235462491535,0.54411393,0.08319554,0.13688014,0.0700998,3638.209368354442,414.18018236199464,983.2163937599049,458.0001519365326,2921.6619414556276,335.27357983521443,443.4285588308883,454.3373609652897,7183.703324256833,832.2278195281233,1368.4618301340006,1028.223343191828,20.36282379510138,0.6001293524193563,4.916303582674986,0.41434683058985183,16.61926761573666,0.6244593173726718,4.312983276997414,0.19090236236547975,19.059433942706235,0.8216004979548245,4.657375850905861,0.27951227322001165,18.173455565119188,1.4072420604902565,4.077135202588131,0.752999636126497,17.75483473100945,1.0398029023371744,3.344603556633311,0.5340173815458744,16.49178756417523,0.98073711298661,2.7528801283917486,0.8516949726216726,16.317143419497786,0.35456718184292074,2.008189084462656,0.47052175752394115,56.41957,65.13748,72.379036,76.0229,37.294662,8.007929,25.076128,3.3904033,17.462175,2.610928,18.067701,1.3985299,22.828865,3.4453952,14.196434,1.4029006,-1.8399605,1.6053126,10.263045,1.1966372,9.326477,1.3812624,8.796145,1.0044577,0.24077006,2.3647995,8.171632,1.0271747,7.7927947,1.9395971,7.59481,1.163121,3.2844102,3.2948241,8.519776,2.3287182,6.166639,1.3764471,8.103168,1.1861447,3.720372,1.0659779,7.095938,0.6608283,5.4822326,1.1134483,7.3691406,0.98139274,0.06769865,1.1966172,6.763765,0.91435397,199.38326,35.58442,94.24807,14.720949
030ee387806443dc84daae1b7d71fdfe,Ninondu Mugiyada Mouna Video Song ｜ Edegaarike ｜ Aadithya ｜ Akanksha ｜ Sadhu Kokila.wav,Romantic,200,0.0696813500137825,0.013011654421794205,0.06106764033107631,0.0331540388057372,0.07788066,0.04418452,0.04416417,0.01314316,1631.658092514624,438.1722023173738,831.614054511959,421.7728161298692,1938.0180392766697,584.2006651298832,582.7265770831243,435.5806793204788,3357.680160819986,970.3764117272561,1812.5177071435753,690.4086836499696,19.84180834458844,1.755690119597548,4.758151012350905,0.08254299438537847,16.662480586642335,1.6412750257375426,4.18761629934853,0.7830483922056257,19.569005547498474,2.518075839593945,4.401115234812512,0.6224832676434164,18.91220661783131,2.087765306299401,3.9218494407388445,0.41855078650722577,19.52592913140019,2.186634781144087,3.937193341464268,0.568452291566916,18.625322062161914,1.4143639149100682,3.4309257748423057,0.4375409684395126,19.354281881137158,1.9368797963051756,3.0529846361439956,0.44876664508476183,-256.12753,164.41704,99.88569,44.293034,93.54938,34.3017,35.610092,15.732488,4.3044634,5.274612,18.496475,2.9455905,11.467448,1.4186356,16.308252,1.9366688,-3.9730215,5.8861327,13.787802,1.1064023,8.364181,2.6192913,12.065028,1.3710485,-3.7855349,3.812672,11.227475,1.622246,-3.3735235,2.438524,9.563658,1.0983468,-5.6827526,4.4831734,10.422351,1.5590351,0.815133,1.3863591,8.83786,1.5557014,-4.452424,2.7807589,8.113491,0.6031507,-3.6085606,3.6392965,8.385774,1.200999,-0.27304173,1.3581092,8.08199,1.960393,29.311699,16.087793,18.497192,5.15048
05280f625477422197289d4d4f5674ed,Jaya Ganesha Jukebox ｜ Sri Gowri Ganesha Festival Songs ｜ Kannada Devotional Songs ｜ Lord Ganesha.wav,Devotional,450,0.12123119716709223,0.023284126870919623,0.05340761166566492,0.011941834540189442,0.109749414,0.013746808,0.05356205,0.01765841,2130.1311167424637,397.6318884562742,588.0410945534194,325.812948555863,1922.0532871218736,375.00971389311604,442.7652729187778,286.9682989888884,4027.6864536182684,747.3688167468126,1159.564314649887,601.678196335628,19.35862775745339,1.084582407781774,4.476344269586678,0.25347986622601326,16.583713736728114,0.654762382053406,4.665615074750055,0.6065267883689952,19.84085001673784,1.5824348329389897,5.049508083154931,0.5227456326217182,19.939906928343287,1.802674363849098,4.619967494776933,0.7564432947397265,19.96103114061278,1.7673397138124713,3.99326706405052,0.5576744898051198,22.22769943755149,2.262763383470074,4.8480176341930425,0.5327145141158265,19.728086321234024,1.1000069304770848,4.002950331727911,0.16834965895810622,-153.15167,73.88792,84.22897,69.31292,80.81304,19.077797,26.917105,6.566864,-33.593727,9.355268,19.62649,1.8446553,27.50488,6.4809093,18.751364,1.3682505,-8.555228,1.9438484,12.605498,1.2662318,1.7323403,3.1021256,14.50963,2.7201853,-2.9751177,1.8617123,12.223473,2.3280241,-0.92177075,2.7161856,12.58718,2.874773,-8.83364,1.9027594,12.326977,1.740398,3.84144,1.9737769,12.229561,1.7934128,-6.494451,2.3247576,10.488697,2.3010666,-2.2963896,1.0848281,9.537781,1.8076633,-4.204135,2.3863847,10.400023,2.4718697,48.747383,5.7165065,27.753265,8.069217
059bf57ef6c343128e6352f3a9353f75,"Jaggu Dada - Vaale Jumuki Full HD Kannada Movie Video Song, Challenging Star Darshan, V Harikrishna.wav",Dance,250,0.07069895398096564,0.01830194732375219,0.04556577999718659,0.007669625748676392,0.23282743,0.061032567,0.107381545,0.029620793,1814.3196568482465,463.816416827309,790.6691903061444,268.2087004335758,2177.316651724888,567.6186086456377,647.4157808403006,388.2629968915134,4073.1813155575387,1094.5627282055113,1875.3579206025247,492.3158041125229,16.39440237558336,1.3142776025694105,4.922157062489271,0.15323210107235638,13.451697951423686,0.6842816345458002,4.251992306350179,0.43333321448471646,16.415358870454295,0.9872061809793794,4.949921752219863,0.31471901995598517,16.576187069268975,1.3246986182029399,4.332610235061427,0.16327186451810122,17.573133501081923,1.551910702759366,4.115804787968301,0.6045186593356286,17.794785288098772,1.5076715943189045,3.9163146854739517,0.7956736530559825,17.719240967772475,1.8301447738064505,3.3654700079879794,0.4908340440688572,-96.938644,107.33982,110.10649,70.725655,94.52749,23.167381,33.559338,15.224256,7.5313425,1.603521,16.436749,1.2851247,12.362305,4.239195,13.443041,1.3729341,2.1733472,1.8153682,12.500104,1.0285642,4.0741873,2.1508374,10.043636,0.68415326,-0.51116735,1.663261,9.855534,1.146778,5.346704,2.0439434,9.362196,0.8723988,-7.6497436,1.850197,9.315209,0.4224678,3.678861,0.84768224,8.647684,0.68649733,-2.1965544,0.8318074,8.390558,1.0518703,1.7486639,1.0769418,8.504792,1.1054077,-0.52704394,0.9369151,7.5063124,1.0808597,103.48889,25.096874,56.673546,10.998178
05f6db53a7204e78853f67def98ec890,Malligi Dandi ｜ Audio Jukebox ｜ Kannada Folk Songs ｜｜ M.S. Maruti ｜｜ Ashwini Recording Company ｜｜.wav,Folk,450,0.15484326338111265,0.03731731510717771,0.08485098741671875,0.00832723147611936,0.09250486,0.026629344,0.04137852,0.0022285734,2863.330842067317,636.4713029778127,903.2822331467765,262.75301233920965,2604.403888645941,550.6302027669713,462.5651121991042,360.6781264403743,5942.590910080084,1305.0846750273108,1659.7759576190058,624.9050244313289,19.085915917522907,0.466656948654861,4.6000057677739505,0.19407452487457388,17.293409933746243,0.2636960346238224,4.577771128875419,0.24192291653458906,21.497552740529553,1.4840506618057767,4.71435339658003,0.22243526860921575,20.799735549433414,1.1629160229850715,4.988125992444447,0.3801970284157571,20.41469671293187,0.9728344344551686,4.00441510707027,0.167753795461133,21.572684705616737,1.3434338007122144,3.5094323920303037,0.15711178094264658,22.152513761764478,1.863506204595922,2.911342867962289,0.2647957991273087,-178.9602,113.141685,69.8146,43.1142,50.61634,11.356951,28.726223,2.3418064,12.184698,3.0649047,24.903313,4.508151,28.514107,7.164618,18.060612,0.4408837,-3.5466423,2.199819,17.034264,3.3241894,-2.2094278,2.9426,18.153204,4.5351396,1.7962104,1.5805813,14.753148,3.27935,-0.059404533,1.5897535,11.267711,1.3779293,-19.950829,6.8956532,14.008276,2.4677756,4.006506,2.6409323,12.293834,2.5251858,-9.556524,2.253351,10.687435,0.87839353,-2.9766307,0.8831638,10.965676,2.3857384,-4.756436,1.9466558,10.327585,2.209662,40.363064,12.521769,21.681005,3.1147058
064d552120974df5a1ff47a4fb9839c9,ನನ್ನೇರಡು ಕಣ್ಣು ನೀನೇ ｜ Nanneredu Kannu Neenu ｜ Thumbida Mane ｜ H B Phareet ｜Folk Songs.wav,Folk,350,0.12420941702107376,0.009382244329047265,0.0618046111881535,0.00909697035190894,0.17172912,0.011001191,0.05090419,0.008987396,2465.823306923356,99.92203946147991,735.543475482502,127.77724969832765,2279.0765570509134,70.44971853493364,458.27583577033795,114.71524717479805,4909.87164595665,155.2494761609062,1382.155060472564,241.8620390044255,19.896382994278806,0.2059462826574106,5.26731107107963,0.23882421498025994,17.061544484617794,0.6531857556649748,4.897136111722324,0.17943552349360992,21.119600546755947,0.6995427915796347,4.975705408772498,0.3387822074468099,21.81079972324982,1.1677720562310798,4.757396937635759,0.4986153748213087,20.66916196537536,0.4476052435305,3.979834128926212,0.21241504001856928,21.071439186119424,0.7590939934743862,3.7601195492170842,0.2568743575021562,19.090079609037453,0.3626619406101524,3.4041094401983623,0.17322461833298192,-92.73823,21.804382,63.55841,37.738445,78.34026,2.562369,31.95747,4.2269845,-13.562522,2.507497,21.097334,0.5178996,36.202343,2.8485498,19.334158,1.0766307,-14.050631,2.9799929,13.823844,0.95555204,6.32721,2.337545,13.784136,0.70552623,-3.6877904,1.4087332,13.148111,1.598117,-5.547055,3.1773143,13.151445,0.931404,-4.2870994,3.0652559,12.1683035,1.1243665,-1.6654245,1.487462,10.035555,1.439576,-7.210505,1.4096276,12.179628,1.5727029,-0.79629767,3.0521412,11.826315,2.4651153,-8.605226,2.2157803,10.590464,1.1005031,70.808395,4.9479475,32.307545,2.3498964
066f473dc81a473eab5f4502f7f19419,ನಮ್ಮೂರ್ ಹುಡ್ಗಿ ｜ Nammura Hudugi ｜ M.S.Ravigowda ｜ Shamitha Malnad ｜ Vijay Urs ｜ Folk Songs ｜｜.wav,Folk,450,0.12363248002746828,0.030982783090041304,0.06632263934016606,0.012340615684090213,0.083131224,0.028400546,0.036434017,0.0053382404,2541.281212980952,644.1132057067362,872.9338082087761,271.2785727882914,2350.2130243925226,596.6430618451857,545.5421321169185,309.92214740879274,4977.651045293639,1237.1181860259378,1731.1731460432982,551.6091768830461,18.862476640495984,1.8441799717137701,4.829713086541359,0.3124401316416508,14.417637755654766,0.800327835178205,4.070098950236357,0.33942943481528903,17.719420636983045,1.5920813546582975,4.8722428270266,0.2952760271013076,19.565947645472775,2.3717792322180133,5.034028918760239,0.3923080909438311,18.834327305581432,2.1607476829760275,4.38992872990573,0.32723306523192336,19.966094184542488,2.514893879986668,4.68980202745206,0.3758177957482756,17.870515282817657,1.7362865149169275,3.19751425390518,0.506934645295931,-182.49858,127.7685,83.922455,48.73171,63.37999,18.625683,29.854753,3.394614,-5.272908,4.8142376,22.816263,2.9951582,23.290337,8.139251,18.321985,2.8390226,-2.7183206,3.2330205,13.906826,1.8065442,-0.41057888,3.7696326,13.526667,3.3479989,8.459103,3.7154336,12.2280445,2.352466,0.5116189,2.3985786,11.474465,1.9079806,-2.0696688,1.1320901,10.91842,2.9632542,4.357923,2.8889706,11.338182,2.9620075,-3.2555556,1.4410152,9.496287,2.188008,0.98486316,1.5650053,9.796428,2.2590964,0.32710618,1.8461413,9.171986,1.8760414,39.11605,14.26343,21.174541,3.9785712
0683b29c6b9f43a6b54851379a9a5b91,"Neeli Maleya Jeevadodaya ｜ Dr Rajkumar, Hamsalekha ｜ Kannada Devotional Songs ｜ Lord Ayyappa Songs.wav",Devotional,450,0.1221518438322114,0.03479550386424604,0.062398038522049205,0.028830455949502662,0.06960273,0.021570276,0.03266481,0.0014682707,2123.585761357361,562.6995598854444,744.0440672502589,241.8658198089627,1937.2298921542215,501.45484682428855,504.99495105381015,182.53023073991602,3963.632227650592,1098.3266240479986,1607.5454180285678,364.4803745146449,20.635567587651927,2.1371968280341425,5.553481063895103,0.710850257196172,17.403332651109874,1.6690000367084725,4.731831368026828,0.3565482859156953,19.693499566426848,2.502981100611314,4.672931831233701,0.39199958420707304,18.830968334447284,2.2089646679403514,4.133728259065438,0.5354452792185251,19.387124670892856,2.082988012436854,3.8808978751586127,0.6212305004748584,21.073401788664125,2.4589204803560167,4.368012527550034,0.7672329824263625,22.51836978401644,3.438332864399677,4.231739023666105,0.6681825081815819,-215.38063,101.82618,93.95217,62.110485,85.50673,19.965424,37.412025,9.76339,-38.615524,11.673458,24.1577,4.532743,3.0180168,7.5864716,20.11539,3.510105,-1.0568645,11.12581,20.180033,3.9646878,-1.4325882,5.7137094,12.837729,1.618055,-19.482512,7.6447096,15.028225,1.9858321,3.8557558,7.895186,12.810854,2.0091147,-19.631739,8.701605,13.214531,2.6133337,-0.66238385,2.1439543,11.374837,1.9000633,-2.3583918,3.0686715,12.828319,2.484996,-2.6719382,3.865804,10.063148,1.9504375,-4.9250555,2.8117962,10.331687,1.5212718,31.47685,10.216908,18.320992,1.8564464
0701ace35ec14bbda9cef98c7c136156,Brindavana - Bellam Belaga Full Video Song ｜ Darshan Thoogudeepa ｜ Karthika Nair ｜ V Harikrishna.wav,Dance,300,0.07540443016626044,0.0234620309529359,0.04200146636095254,0.005053008453051168,0.28532985,0.10721284,0.13930707,0.014670412,1817.0308130830983,580.6019081695289,668.8367792162626,166.00561877363188,2078.4067325673627,668.0925959570654,518.7296252372902,268.7210929117563,3794.9229800933585,1255.014386707854,1578.1412179727633,315.20109270425075,17.095353795880595,1.8414854434567203,4.797412872939151,0.4619703108649954,15.036103716419804,1.060207665410508,4.910460246006348,0.46698264285545243,18.226871533602964,2.6002275558904033,5.21763099679643,0.5247173642473348,17.56709467284981,2.640824169624746,4.654970909725822,0.6892877327244924,18.623167173286117,2.4759169251838653,4.397627798779258,0.3433048305415373,19.153343605372974,2.3038912506597597,4.405662331949121,0.516701321217815,17.20559148113944,1.8667357072868571,2.7303372661170777,0.46289535600661613,-85.8197,122.23112,93.33408,58.375587,90.3166,26.745718,32.82172,10.764399,-3.7742453,5.932759,18.32201,2.407184,18.363802,7.020542,17.922438,1.5203272,4.302139,2.2460258,12.976799,2.1027403,-0.4000882,1.4758785,12.230766,2.2847254,2.0115964,1.4062574,10.217819,2.3556912,2.563926,1.7403967,10.115946,1.3477281,-8.862575,2.9130032,11.238278,0.9264828,5.727884,2.6088083,9.994017,1.7374039,-3.0355418,2.288285,7.9444222,2.0410323,-1.6449441,1.1810727,8.129376,1.4868529,-2.5849817,2.3398705,7.6855087,2.0431964,119.85333,47.844303,70.91874,5.9770327
