filename,song_id,genre,chunk_index,start_s,end_s,duration_s,num_frames,zcr_mean,zcr_std,rms_mean,rms_std,spectral_centroid_mean,spectral_centroid_std,spectral_bandwidth_mean,spectral_bandwidth_std,spectral_rolloff_mean,spectral_rolloff_std,contrast_0_mean,contrast_0_std,contrast_1_mean,contrast_1_std,contrast_2_mean,contrast_2_std,contrast_3_mean,contrast_3_std,contrast_4_mean,contrast_4_std,contrast_5_mean,contrast_5_std,contrast_6_mean,contrast_6_std,mfcc1_mean,mfcc1_std,mfcc2_mean,mfcc2_std,mfcc3_mean,mfcc3_std,mfcc4_mean,mfcc4_std,mfcc5_mean,mfcc5_std,mfcc6_mean,mfcc6_std,mfcc7_mean,mfcc7_std,mfcc8_mean,mfcc8_std,mfcc9_mean,mfcc9_std,mfcc10_mean,mfcc10_std,mfcc11_mean,mfcc11_std,mfcc12_mean,mfcc12_std,mfcc13_mean,mfcc13_std,spectral_flux_mean,spectral_flux_std
"Sloka ｜｜ Ayyappa Devotional Kannada Songs ｜｜ K.J. Yesudas, Narasimha Nayak.wav",22eb8cddd80840d89670aaa6c9ffa217,Devotional,0,0.0,50.0,50,52,0.06907978252669453,0.0634973332839053,0.14400356,0.07987116,1603.1974552659856,654.2412859334752,1641.9016839458384,280.9719560621333,3164.1362522305885,1015.7604387395911,27.179212969105475,4.816663276409362,20.2809774807783,5.861903356691638,20.738275454982556,4.999822348101533,21.41830229632947,4.363390011957587,20.782012748662314,4.0890766758999915,21.751709179644024,3.820807571485922,25.564839314255746,2.9074330635941106,-191.81456,89.43739,107.191345,33.11616,-33.08287,18.085424,39.430115,18.564236,-16.770685,18.898209,0.35771027,9.308761,-6.320979,13.774782,-0.5874081,13.936259,-17.234118,14.895766,-4.216434,11.068845,-9.546331,12.342518,-9.82888,12.911509,-12.875231,8.84662,51.084064,38.95305
"Sloka ｜｜ Ayyappa Devotional Kannada Songs ｜｜ K.J. Yesudas, Narasimha Nayak.wav",22eb8cddd80840d89670aaa6c9ffa217,Devotional,1,50.0,100.0,50,52,0.07223524910051068,0.06417687932961604,0.14121102,0.07701232,1700.7625515363222,675.1551905877419,1697.5385686579198,280.2932898783153,3347.628333641626,1010.6336494870263,27.1632006109716,4.811743767408757,20.37554095252038,5.783010907769288,20.544306807858504,5.149603003141225,20.821218188736076,4.278720267956433,20.552782129799475,4.020500533709393,21.152922081377138,3.5672673096218337,25.797711392542983,2.65356153887423,-185.35806,86.91257,103.16001,32.452633,-34.098827,18.499414,39.551735,19.900026,-18.67952,17.931032,-0.46568125,10.225716,-7.647999,14.313015,-0.11223922,13.739666,-18.448797,12.266768,-5.421847,11.350959,-7.7115593,12.227524,-6.928546,12.292889,-10.708488,8.337354,49.781025,36.422897
"Sloka ｜｜ Ayyappa Devotional Kannada Songs ｜｜ K.J. Yesudas, Narasimha Nayak.wav",22eb8cddd80840d89670aaa6c9ffa217,Devotional,2,100.0,150.0,50,52,0.027877368413416898,0.05489699707471991,0.046382535,0.07734101,596.2953694011936,886.562062317041,625.1125097676622,821.8983000853794,1158.2494029095578,1676.183897012621,19.005480508365313,6.7970890201857195,16.756537964242625,5.072462529297936,17.329473397945883,5.20904016316689,17.162891489500478,5.372388545721849,17.067348633991507,5.29789543604006,16.36812477674745,3.649865026177846,18.061789050831376,5.711340661390112,-415.3811,165.27278,39.64891,54.215977,-9.421246,19.72836,14.247673,22.286642,-4.1170382,14.144059,1.0558121,6.6407304,-5.0558534,9.941756,-1.2939734,7.559519,-5.9502263,11.289541,-2.404833,7.3565373,-3.7626934,9.715054,-2.5934985,7.6308103,-3.3846157,6.929734,17.268703,32.70614
Jaya Ganesha - Video Song ｜ Sung By： K. Veeramani ｜ Ganesha Songs ｜ Kannada Bhakti Geethegalu.wav,344d60c1ae234083ab614603af010bb9,Devotional,0,0.0,50.0,50,52,0.14000705446262768,0.05193282185475163,0.13431811,0.06603939,2546.1611498031043,791.8832324265687,2345.684948908774,617.9630205786954,5011.023289247476,1945.3580724612425,17.576023732374328,4.981177945785039,14.922812151351502,4.397193972486441,20.374808848784358,4.587891940115301,21.304037656298743,4.631540200732673,20.262611203163832,3.860237993906693,21.28618604455198,4.0828131095319105,20.96640837360684,4.280934612163905,-120.11178,108.90458,74.40168,27.80202,-24.848433,21.159546,11.5895405,19.596634,-2.3153465,14.994803,-9.265979,15.44574,-0.77500606,16.044184,1.0995022,13.0499735,-6.560389,10.553148,-0.050776377,11.857852,-5.3733554,9.597312,4.3410983,11.124319,2.2752354,12.49996,57.73465,33.0353
Jaya Ganesha - Video Song ｜ Sung By： K. Veeramani ｜ Ganesha Songs ｜ Kannada Bhakti Geethegalu.wav,344d60c1ae234083ab614603af010bb9,Devotional,1,50.0,100.0,50,52,0.1469286792014856,0.05768022404969122,0.14375417,0.05233069,2817.7274238800956,652.800622475714,2570.5224980900307,424.89164318983615,5598.502853521066,1694.953354552548,17.55868526255162,4.914047246274387,15.152645345216099,4.187903979489148,20.211812530740897,4.464367979914809,19.020190855798102,4.7063063181397595,19.844816418086047,4.074482237658414,21.31760579965709,4.123171831033038,20.35337210462207,3.369177341014784,-90.008194,58.33426,66.849236,23.615582,-15.099716,23.203127,21.052359,22.62268,-1.0445923,16.404146,-14.284709,13.773244,-0.62672997,13.620702,1.9369202,10.317697,-9.967801,12.907206,6.9899178,12.544465,0.039265215,9.0940895,4.8539543,10.751472,1.834137,10.024693,64.92861,28.815218
Jaya Ganesha - Video Song ｜ Sung By： K. Veeramani ｜ Ganesha Songs ｜ Kannada Bhakti Geethegalu.wav,344d60c1ae234083ab614603af010bb9,Devotional,2,100.0,150.0,50,52,0.12578002589658774,0.0486038984889395,0.14061624,0.049219143,2562.5552688745174,618.1478255922028,2470.640899429484,410.0364840904929,5162.040621191678,1593.6307673456024,17.66272045577128,5.215096663417613,15.358848509441405,4.6429577534182815,20.59569283919556,4.589414000480908,20.177467158493176,4.770802891701328,19.822978357358753,4.005599982604461,20.40052546000412,3.758570524269647,21.53810899954887,3.771203501910291,-99.730255,52.751938,76.89034,22.953653,-17.6684,19.66185,16.52333,21.577906,-3.8032176,14.245938,-8.632179,12.550462,-3.3857584,12.860608,1.0429411,9.637536,-8.505517,11.863165,8.557421,12.884297,-1.9194658,9.764859,6.3852234,10.420421,-1.6098778,11.33835,59.134884,29.139185
Jaya Ganesha - Video Song ｜ Sung By： K. Veeramani ｜ Ganesha Songs ｜ Kannada Bhakti Geethegalu.wav,344d60c1ae234083ab614603af010bb9,Devotional,3,150.0,200.0,50,52,0.13211544111246518,0.04367468935611147,0.1444249,0.055744752,2598.9216519320057,587.060762844828,2476.2116279869438,422.29717593255924,5226.605241610811,1600.9191615644445,17.574995628336406,5.0692392077152135,15.390782993340027,4.471005376691044,20.183312955981556,4.637242566357374,20.120501101441565,4.825359849695302,19.90122634996871,3.990666544963651,20.53314145309309,3.716564716097293,20.96173205455979,3.500845905864186,-96.57818,54.603626,75.119606,22.02512,-19.058332,20.15466,17.039791,21.428438,-2.20819,14.302158,-8.065398,14.034652,-1.1483394,14.35333,1.1804813,11.482865,-10.393008,10.710684,4.843816,12.267015,-3.417113,8.600826,6.313522,10.224634,1.4671916,12.267643,64.38822,30.112617
Jaya Ganesha - Video Song ｜ Sung By： K. Veeramani ｜ Ganesha Songs ｜ Kannada Bhakti Geethegalu.wav,344d60c1ae234083ab614603af010bb9,Devotional,4,200.0,250.0,50,52,0.13635083891887187,0.05641020710766241,0.13960171,0.052318666,2722.192552740342,633.234377339151,2580.5991582039296,414.3160762423273,5595.733727585306,1594.1645870127566,17.870648974933342,5.006583556745155,14.613089190553854,4.255153351619692,19.73117418974665,4.463091717597217,19.266449715185175,4.930709048374562,19.45995281124914,3.9394748700492466,20.35197058034818,3.8653907226892708,20.8890125648243,3.7828023580200103,-98.813324,59.690964,70.74913,22.05599,-11.03767,23.469173,20.738455,22.488094,-1.421175,15.434616,-7.102754,15.020331,-1.4101359,14.039565,0.6816659,11.539564,-10.497135,12.523944,5.7190957,12.544767,-3.0280976,9.172145,5.8307724,11.216732,3.2815168,10.557425,62.21374,28.042524
Jaya Ganesha - Video Song ｜ Sung By： K. Veeramani ｜ Ganesha Songs ｜ Kannada Bhakti Geethegalu.wav,344d60c1ae234083ab614603af010bb9,Devotional,5,250.0,300.0,50,52,0.12809358134575208,0.04811809932712686,0.14613223,0.058208473,2651.827985209992,603.8880350494096,2573.4857011105073,404.2228101598509,5497.924600670264,1603.362103450651,17.105735474011254,5.071583880623482,15.03101726750239,4.499740129259055,20.20093369863509,4.688523684553282,19.995534504061357,4.723651870597585,19.664973149829372,4.035507144517485,19.979945383357492,3.779059898317213,20.932227271647186,3.9078575719142075,-96.236336,59.8468,74.881516,22.102085,-13.758514,20.231789,12.708749,21.482367,-3.8085454,14.704603,-8.821096,13.297234,-2.4019186,13.32964,0.46082965,10.86967,-8.021154,11.381938,8.401809,13.435416,-2.163193,9.757013,4.6766825,11.470599,-0.7955565,10.760808,62.036236,31.97643
Jaya Ganesha - Video Song ｜ Sung By： K. Veeramani ｜ Ganesha Songs ｜ Kannada Bhakti Geethegalu.wav,344d60c1ae234083ab614603af010bb9,Devotional,6,300.0,350.0,50,52,0.13288050574512536,0.0613319319557767,0.11806998,0.054241717,2693.034955666915,698.9309179682427,2562.785836090412,468.57756218391813,5565.458283915826,1751.754585611989,16.9356968951554,5.1009929955905005,16.30636938819385,4.7564558613496555,21.014114559237033,4.795334895351668,19.952994007115606,4.659387573262053,20.750235585278215,4.758376464891618,21.616688732897078,4.962737448971706,21.261688796117184,3.7087250630768946,-133.37804,74.19858,71.18669,25.564936,-11.231785,27.74651,18.783377,21.04547,0.00812918,15.695476,-9.114619,16.3946,-1.4553384,12.060703,-0.7373162,11.094681,-10.937152,11.9745245,7.5989423,11.891294,-2.7492652,8.584685,6.1280284,11.073869,0.17009208,11.325256,52.543022,31.159815
